disease,tau,method,method_label,rejection_rate,sensitivity,specificity,auprc,n_retained,minority_coverage,majority_coverage
MS,0.13,h_total,H_Total (Global),0.0,0.6630434782608695,0.7145135566188198,0.289525154026269,719,1.0,1.0
MS,0.13,h_total,H_Total (Global),0.05,0.6075949367088608,0.740495867768595,0.264565842868292,684,0.8586956521739131,0.9649122807017544
MS,0.13,h_total,H_Total (Global),0.1,0.5373134328358209,0.7710843373493976,0.22777905916295776,648,0.7282608695652174,0.9266347687400319
MS,0.13,h_total,H_Total (Global),0.15,0.4745762711864407,0.810126582278481,0.22801332325016843,612,0.6413043478260869,0.8819776714513556
MS,0.13,h_total,H_Total (Global),0.2,0.3404255319148936,0.8468809073724007,0.16525097147649395,576,0.5108695652173914,0.8437001594896332
MS,0.13,h_total,H_Total (Global),0.25,0.225,0.896,0.19559151102843597,540,0.43478260869565216,0.7974481658692185
MS,0.13,h_total,H_Total (Global),0.3,0.08823529411764706,0.9531914893617022,0.15505493207992482,504,0.3695652173913043,0.7496012759170654
MS,0.13,h_total,H_Total (Global),0.35,0.0,1.0,0.16424929124296303,468,0.31521739130434784,0.7001594896331739
MS,0.13,h_total,H_Total (Global),0.4,0.0,1.0,0.10091642247430418,432,0.2391304347826087,0.6539074960127592
MS,0.13,h_total,H_Total (Global),0.45,0.0,1.0,0.11415513269063243,396,0.21739130434782608,0.5996810207336523
MS,0.13,h_total,H_Total (Global),0.5,0.0,1.0,0.14338557598841004,360,0.16304347826086957,0.5502392344497608
MS,0.13,h_total,H_Total (Global),0.55,0.0,1.0,0.05257588546542177,324,0.14130434782608695,0.4960127591706539
MS,0.13,h_total,H_Total (Global),0.6,0.0,1.0,0.04695555447634157,288,0.11956521739130435,0.44178628389154706
MS,0.13,h_total,H_Total (Global),0.65,0.0,1.0,0.03319862031670501,252,0.09782608695652174,0.3875598086124402
MS,0.13,h_total,H_Total (Global),0.7,0.0,1.0,0.047776511563434626,216,0.09782608695652174,0.33014354066985646
MS,0.13,h_total,H_Total (Global),0.75,0.0,1.0,0.045993451640776346,180,0.07608695652173914,0.2759170653907496
MS,0.13,h_total,H_Total (Global),0.8,0.0,1.0,0.056900334321380724,144,0.06521739130434782,0.22009569377990432
MS,0.13,margin,Margin (Global),0.0,0.6630434782608695,0.7145135566188198,0.289525154026269,719,1.0,1.0
MS,0.13,margin,Margin (Global),0.05,0.6818181818181818,0.7332214765100671,0.29410111681687895,684,0.9565217391304348,0.9505582137161085
MS,0.13,margin,Margin (Global),0.1,0.7037037037037037,0.7407407407407407,0.29668385034520917,648,0.8804347826086957,0.9043062200956937
MS,0.13,margin,Margin (Global),0.15,0.7368421052631579,0.7444029850746269,0.29981336569614253,612,0.8260869565217391,0.8548644338118022
MS,0.13,margin,Margin (Global),0.2,0.7466666666666667,0.7405189620758483,0.3058914709120067,576,0.8152173913043478,0.7990430622009569
MS,0.13,margin,Margin (Global),0.25,0.7761194029850746,0.7315010570824524,0.3063153798832907,540,0.7282608695652174,0.7543859649122807
MS,0.13,margin,Margin (Global),0.3,0.7903225806451613,0.7262443438914027,0.3087335108829981,504,0.6739130434782609,0.7049441786283892
MS,0.13,margin,Margin (Global),0.35,0.8166666666666667,0.7156862745098039,0.31297286960826376,468,0.6521739130434783,0.6507177033492823
MS,0.13,margin,Margin (Global),0.4,0.8245614035087719,0.7093333333333334,0.31637426809043684,432,0.6195652173913043,0.5980861244019139
MS,0.13,margin,Margin (Global),0.45,0.8392857142857143,0.6852941176470588,0.3200466843352219,396,0.6086956521739131,0.5422647527910686
MS,0.13,margin,Margin (Global),0.5,0.8363636363636363,0.6557377049180327,0.3243906738736189,360,0.5978260869565217,0.4864433811802233
MS,0.13,margin,Margin (Global),0.55,0.8653846153846154,0.6323529411764706,0.3292692478318778,324,0.5652173913043478,0.43381180223285487
MS,0.13,margin,Margin (Global),0.6,0.88,0.5966386554621849,0.33359447503616624,288,0.5434782608695652,0.379585326953748
MS,0.13,margin,Margin (Global),0.65,0.8958333333333334,0.5441176470588235,0.3384165719062923,252,0.5217391304347826,0.3253588516746411
MS,0.13,margin,Margin (Global),0.7,0.9545454545454546,0.47674418604651164,0.34337529837530645,216,0.4782608695652174,0.2743221690590112
MS,0.13,margin,Margin (Global),0.75,0.9512195121951219,0.38848920863309355,0.34702519447236246,180,0.44565217391304346,0.22169059011164274
MS,0.13,margin,Margin (Global),0.8,1.0,0.23148148148148148,0.3545582913573354,144,0.391304347826087,0.1722488038277512
MS,0.13,h_tau,H_tau (Global),0.0,0.6630434782608695,0.7145135566188198,0.289525154026269,719,1.0,1.0
MS,0.13,h_tau,H_tau (Global),0.05,0.6590909090909091,0.7483221476510067,0.29424807525902497,684,0.9565217391304348,0.9505582137161085
MS,0.13,h_tau,H_tau (Global),0.1,0.6375,0.778169014084507,0.294892535023849,648,0.8695652173913043,0.9059011164274322
MS,0.13,h_tau,H_tau (Global),0.15,0.6216216216216216,0.8048327137546468,0.2983311812197537,612,0.8043478260869565,0.8580542264752791
MS,0.13,h_tau,H_tau (Global),0.2,0.5873015873015873,0.8362573099415205,0.2912905998654591,576,0.6847826086956522,0.8181818181818182
MS,0.13,h_tau,H_tau (Global),0.25,0.5714285714285714,0.871900826446281,0.2916639555628564,540,0.6086956521739131,0.7719298245614035
MS,0.13,h_tau,H_tau (Global),0.3,0.5319148936170213,0.8971553610503282,0.27940354656450384,504,0.5108695652173914,0.7288676236044657
MS,0.13,h_tau,H_tau (Global),0.35,0.47368421052631576,0.9232558139534883,0.25655306482646073,468,0.41304347826086957,0.6858054226475279
MS,0.13,h_tau,H_tau (Global),0.4,0.4117647058823529,0.9422110552763819,0.2604114702564171,432,0.3695652173913043,0.6347687400318979
MS,0.13,h_tau,H_tau (Global),0.45,0.4,0.9487870619946092,0.21572898037422591,396,0.2717391304347826,0.5917065390749602
MS,0.13,h_tau,H_tau (Global),0.5,0.2777777777777778,0.9678362573099415,0.15573348562668904,360,0.1956521739130435,0.5454545454545454
MS,0.13,h_tau,H_tau (Global),0.55,0.13333333333333333,0.9805825242718447,0.1284569307314525,324,0.16304347826086957,0.49282296650717705
MS,0.13,h_tau,H_tau (Global),0.6,0.08333333333333333,0.9927536231884058,0.08631932492716105,288,0.13043478260869565,0.44019138755980863
MS,0.13,h_tau,H_tau (Global),0.65,0.0,0.9917695473251029,0.03319862031670501,252,0.09782608695652174,0.3875598086124402
MS,0.13,h_tau,H_tau (Global),0.7,0.0,0.9951690821256038,0.047776511563434626,216,0.09782608695652174,0.33014354066985646
MS,0.13,h_tau,H_tau (Global),0.75,0.0,1.0,0.045993451640776346,180,0.07608695652173914,0.2759170653907496
